input_dec,input_hex,dut_ceil_log2
3528439769,0xd24fb7d9,32
3544763842,0xd348cdc2,32
3545479012,0xd353b764,32
3553830158,0xd3d3250e,32
3558861722,0xd41feb9a,32
3570808277,0xd4d635d5,32
3591636277,0xd6140535,32
3613746552,0xd7656578,32
3621119493,0xd7d5e605,32
3622541247,0xd7eb97bf,32
3635171548,0xd8ac50dc,32
3636662792,0xd8c31208,32
3639849260,0xd8f3b12c,32
3664317207,0xda690b17,32
3669719349,0xdabb7935,32
3699653498,0xdc843b7a,32
3704431011,0xdccd21a3,32
3706720521,0xdcf01109,32
3722058702,0xddda1bce,32
3722408238,0xdddf712e,32
3730870415,0xde60908f,32
3732954568,0xde805dc8,32
3742649152,0xdf144b40,32
3750286112,0xdf88d320,32
3772893913,0xe0e1cad9,32
3782199068,0xe16fc71c,32
3809799165,0xe314ebfd,32
3813963056,0xe3547530,32
3817827594,0xe38f6d0a,32
3824259736,0xe3f19298,32
3834962020,0xe494e064,32
3873185500,0xe6dc1edc,32
3875608823,0xe70118f7,32
3877014645,0xe7168c75,32
3887043109,0xe7af9225,32
3924106221,0xe9e51bed,32
3932487428,0xea64ff04,32
3938954897,0xeac7ae91,32
3941437040,0xeaed8e70,32
3945972400,0xeb32c2b0,32
3947702468,0xeb4d28c4,32
3950307311,0xeb74e7ef,32
3960249806,0xec0c9dce,32
3961534718,0xec2038fe,32
3977919806,0xed1a3d3e,32
3981770918,0xed5500a6,32
3984517652,0xed7eea14,32
3993803378,0xee0c9a72,32
3998711082,0xee577d2a,32
4005958006,0xeec61176,32
4031524499,0xf04c2e93,32
4038171485,0xf0b19b5d,32
4042322160,0xf0f0f0f0,32
4062494883,0xf224c0a3,32
4071713027,0xf2b16903,32
4092590375,0xf3eff927,32
4101594415,0xf4795d2f,32
4102048458,0xf4804aca,32
4111567217,0xf5118971,32
4117305908,0xf5691a34,32
4118617514,0xf57d1daa,32
4148444185,0xf7443c19,32
4153621766,0xf7933d06,32
4156860414,0xf7c4a7fe,32
4157746633,0xf7d22dc9,32
4159289677,0xf7e9b94d,32
4164120924,0xf833715c,32
4170329395,0xf8922d33,32
4214634992,0xfb3639f0,32
4214886570,0xfb3a10aa,32
4216781509,0xfb56fac5,32
4217206335,0xfb5d763f,32
4221590938,0xfba05d9a,32
4226807538,0xfbeff6f2,32
4238174291,0xfc9d6853,32
4244287588,0xfcfab064,32
4276502201,0xfee63eb9,32
4287479552,0xff8dbf00,32
4290058285,0xffb5182d,32
4290276897,0xffb86e21,32
4294767420,0xfffcf33c,32
4294774120,0xfffd0d68,32
4294775944,0xfffd1488,32
4294776319,0xfffd15ff,32
4294777672,0xfffd1b48,32
4294781704,0xfffd2b08,32
4294782002,0xfffd2c32,32
4294782007,0xfffd2c37,32
4294786954,0xfffd3f8a,32
4294789482,0xfffd496a,32
4294790672,0xfffd4e10,32
4294794641,0xfffd5d91,32
4294795014,0xfffd5f06,32
4294796817,0xfffd6611,32
